Email,Password
john.doe1@example.com,PassWord1!
jane.smith2@example.com,SecureMe2@
michael.jordan3@example.com,AirJordan3#
susan.connor4@example.com,T3rmin@tor4
bruce.wayne5@example.com,BatCave5$
clark.kent6@example.com,KrYpt0n6%
peter.parker7@example.com,Sp1d3y7&
tony.stark8@example.com,Ir0nMan8*
natasha.romanova9@example.com,BlackWidow9@
steve.rogers10@example.com,Captain10#
logan.wolverine11@example.com,Xm3n11$
charles.xavier12@example.com,ProfX12%
bruce.banner13@example.com,HulkSmasH13!
thor.odinson14@example.com,Mjolnir14&
loki.laufeyson15@example.com,Tr1ckst3r15*
wanda.maximoff16@example.com,Scarlet16@
vision.ark17@example.com,M1nDst0n3#17
sam.wilson18@example.com,Falcon18$
bucky.barnes19@example.com,WinterSoldier19%
tchalla.black20@example.com,Panther20!
shuri.tech21@example.com,Wakanda21&
nick.fury22@example.com,Shield22*
carol.danvers23@example.com,CaptainM@rvel23@
scott.lang24@example.com,Antm@n24#
hope.van25@example.com,Wasp25$
stephen.strange26@example.com,S0rc3r3r26%
wade.wilson27@example.com,Deadpool27!
matt.murdock28@example.com,Daredevil28&
jessica.jones29@example.com,Alias29*
danny.rand30@example.com,IronFist30@
luke.cage31@example.com,PowerMan31#
frank.castle32@example.com,Punisher32$
clint.barton33@example.com,HawkEye33%
kate.bishop34@example.com,YoungAvenger34!
gwen.stacy35@example.com,SpiderGwen35&
miles.morales36@example.com,Sp1der36*
eddie.brock37@example.com,Venom37@
norman.osborn38@example.com,Goblin38#
harry.osborn39@example.com,SonOfG@blin39$
may.parker40@example.com,AuntMay40%
ben.parker41@example.com,UncleBen41!
mj.watson42@example.com,MJLove42&
felicia.hardy43@example.com,BlackCat43*
otto.octavius44@example.com,DocOc44@
flint.marko45@example.com,Sandman45#
adrian.toomes46@example.com,Vulture46$
mac.gargan47@example.com,Scorpion47%
aleksei.sytsevich48@example.com,Rhino48!
quinn.beck49@example.com,Mysterio49&
cletus.kasady50@example.com,Carnage50*
harleen.quinzel51@example.com,Harley51@
selina.kyle52@example.com,Catwoman52#
barbara.gordon53@example.com,Batgirl53$
dick.grayson54@example.com,Nightwing54%
jason.todd55@example.com,RedHood55!
tim.drake56@example.com,RobinTim56&
damian.wayne57@example.com,R0bin57*
stephanie.brown58@example.com,Spoiler58@
cassandra.cain59@example.com,Orphan59#
lucius.fox60@example.com,TechBoss60$
ra's.al.ghul61@example.com,Lazarus61%
talia.al.ghul62@example.com,Daughter62!
slade.wilson63@example.com,Deathstroke63&
arthur.curry64@example.com,Aquaman64*
mera.queen65@example.com,MeraPower65@
victor.stone66@example.com,Cyborg66#
barry.allen67@example.com,Flash67$
wally.west68@example.com,KidFlash68%
hal.jordan69@example.com,GreenLantern69!
john.stewart70@example.com,LanternJohn70&
kyle.rayner71@example.com,ArtistLantern71*
oliver.queen72@example.com,GreenArrow72@
dinah.lance73@example.com,BlackCanary73#
roy.harper74@example.com,Arsenal74$
connor.hawke75@example.com,GreenSon75%
zatanna.zatara76@example.com,Magic76!
john.constantine77@example.com,Hellblazer77&
billy.batson78@example.com,Shazam78*
freddy.freeman79@example.com,ShazamBud79@
mary.bromfield80@example.com,MaryMarvel80#
lex.luthor81@example.com,L3xB0ss81$
brainiac.ai82@example.com,5thLevel82%
doomsday.gen83@example.com,Krypt0nKiller83!
darkseid.rule84@example.com,Omega84&
eobard.thawne85@example.com,Reverse85*
hunter.zolomon86@example.com,ZoomZoom86@
jay.garrick87@example.com,Speedster87#
alan.scott88@example.com,GoldenLantern88$
jayna.wonder89@example.com,WonderTwins89%
zan.twin90@example.com,FormOfWater90!
felix.faust91@example.com,DarkWizard91&
klarion.kid92@example.com,Witchboy92*
constantine.93@example.com,Occult93@
zatara.magic94@example.com,Showman94#
midnighter.hero95@example.com,Tactic95$
apollo.sun96@example.com,GodPower96%
vandal.savage97@example.com,Eternal97!
hawkman.fury98@example.com,NthMetal98&
hawkgirl.wings99@example.com,Fierce99*
max.lord100@example.com,ControlMind100@
